"_id","_labels","d","determined","dimension","integerRange","maxFigPScalar","maxSetProductRange","muList","muListSize","n","one","pArray","predictedDetermined","predictedProbabilities","resultId","setProductRAngeIncrement","setProductRange","skipList","three","totalZero","two","vmResult","wNum","zero","_start","_end","_type"
"0",":Configure","","","3","200","1","3","","","","","[0, 0, 0, 0]","","","","3","3","","","","","","","",,,
"1",":CreatedBy","","","","","","","","","","","[0, 0, 0, 0]","","","600001","","","[false, false, false]","","","","","2","",,,
"2",":CreatedBy","","","","","","","","","","","[0, 2, 0, 0]","","","600014","","","[false, false, false]","","","","","2","",,,
"3",":DUndetermined","0","0","","","","","[]","1","0","1","","0","[0.5112520423657562,0.4887479576342433]","","","","","0","1","0","[0.0, 1.0, -0.0, 0.0, 0.0]","3","0",,,
"4",":CreatedBy","","","","","","","","","","","[0, 2, 0, 0]","","","600014","","","[false, false, false]","","","","","3","",,,
"5",":CreatedBy","","","","","","","","","","","[0, 0, 0, 0]","","","600001","","","[false, false, false]","","","","","0","",,,
"6",":DUndetermined","1","0","","","","","[1]","1","1","1","","0","[0.5112520423657562,0.4887479576342433]","","","","","0","1","0","[0.0, 1.0000000000000002, -3.0, -4.0, 6.0]","3","0",,,
"7",":BadPrediction:DUndetermined","0","0","","","","","[]","1","0","0","","1","[0.4954880851592699,0.5045119148407294]","","","","","0","0","0","[0.0, 3.0, 3.0, 1.0]","2","1",,,
"8",":CreatedBy","","","","","","","","","","","[1, 2, 0, 0]","","","600016","","","[false, false, false]","","","","","0","",,,
"9",":DDetermined","0","1","","","","","[]","1","0","0","","1","[0.46171761074186973,0.5382823892581298]","","","","","0","0","0","[0.0, 6.0]","0","1",,,
"10",":CreatedBy","","","","","","","","","","","[1, 2, 0, 0]","","","600016","","","[false, false, false]","","","","","1","",,,
"11",":CreatedBy","","","","","","","","","","","[0, 0, 0, 0]","","","600001","","","[false, false, false]","","","","","1","",,,
"12",":CreatedBy","","","","","","","","","","","[1, 2, 0, 0]","","","600016","","","[false, false, false]","","","","","2","",,,
"13",":DDetermined","0","1","","","","","[]","1","0","1","","1","[0.47742388130827007,0.5225761186917295]","","","","","0","1","0","[0.0, 6.0, 6.0]","1","0",,,
"14",":CreatedBy","","","","","","","","","","","[1, 2, 0, 0]","","","600016","","","[false, false, false]","","","","","3","",,,
"15",":DDetermined","4","1","","","","","[2, 2]","2","2","0","","1","[0.35596511830311056,0.6440348816968889]","","","","","1","3","0","[0.0, 1.0000000000000004, -3.0, -4.0, 12.0]","3","0",,,
"16",":CreatedBy","","","","","","","","","","","[2, 2, 0, 0]","","","600017","","","[false, false, false]","","","","","0","",,,
"17",":CreatedBy","","","","","","","","","","","[2, 2, 0, 0]","","","600017","","","[false, false, false]","","","","","1","",,,
"18",":CreatedBy","","","","","","","","","","","[2, 2, 0, 0]","","","600017","","","[false, false, false]","","","","","2","",,,
"19",":CreatedBy","","","","","","","","","","","[2, 2, 0, 0]","","","600017","","","[false, false, false]","","","","","3","",,,
"20",":CreatedBy","","","","","","","","","","","[3, 2, 0, 0]","","","600018","","","[false, false, false]","","","","","0","",,,
"21",":CreatedBy","","","","","","","","","","","[3, 2, 0, 0]","","","600018","","","[false, false, false]","","","","","1","",,,
"22",":CreatedBy","","","","","","","","","","","[3, 2, 0, 0]","","","600018","","","[false, false, false]","","","","","2","",,,
"23",":CreatedBy","","","","","","","","","","","[3, 2, 0, 0]","","","600018","","","[false, false, false]","","","","","3","",,,
"24",":CreatedBy","","","","","","","","","","","[0, 0, 0, 0]","","","600001","","","[false, false, false]","","","","","3","",,,
