NN;flatFileRowCounterr;nMaxx;tSeqDB;bTermDB;vertexDBVertex;vertexDegreeDB;vertexScalarDB;vertexDB;targetEvaluate
2;-1;4;1;1;0 3 -1 0 0;-1;3;0 3 -1 0 0;4
2;0;4;1;2;1 -2 1 0 0;1;-2;1 -2 1 0 0;4
2;0;4;1;2;1 1 2 0 0;2;1;1 1 2 0 0;4
2;0;4;1;2;0 6 0 0 0;0;6;0 6 0 0 0;4
2;0;4;1;2;1 -3 1 0 0;1;-3;1 -3 1 0 0;4
2;1;4;1;2;1 -3 1 0 0;1;-3;1 -3 1 0 0;4
2;1;4;1;2;1 1 2 0 0;2;1;1 1 2 0 0;4
2;1;4;1;2;0 12 0 0 0;0;12;0 12 0 0 0;4
2;1;4;1;2;1 -4 1 0 0;1;-4;1 -4 1 0 0;4
3;-1;4;1;1;0 4 -1 0 0;-1;4;0 4 -1 0 0;8
3;0;4;1;1;1 -1 1 0 0;1;-1;1 -1 1 0 0;8
3;0;4;1;1;1 1 2 0 0;2;1;1 1 2 0 0;8
3;0;4;1;1;0 2 0 0 0;0;2;0 2 0 0 0;8
3;0;4;1;1;1 -2 1 0 0;1;-2;1 -2 1 0 0;8
3;1;4;1;1;1 -2 1 0 0;1;-2;1 -2 1 0 0;8
3;1;4;1;1;1 1 2 0 0;2;1;1 1 2 0 0;8
3;1;4;1;1;0 6 0 0 0;0;6;0 6 0 0 0;8
3;1;4;1;1;1 -3 1 0 0;1;-3;1 -3 1 0 0;8
3;2;4;2;1;1 -3 1 0 0;1;-3;1 -3 1 0 0;8
3;2;4;2;1;1 1 2 0 0;2;1;1 1 2 0 0;8
3;2;4;2;1;0 12 0 0 0;0;12;0 12 0 0 0;8
3;2;4;2;1;1 -4 1 0 0;1;-4;1 -4 1 0 0;8
2;-1;5;1;1;0 3 -1 0 0;-1;3;0 3 -1 0 0;4
2;0;5;1;3;1 -3 1 0 0;1;-3;1 -3 1 0 0;4
2;0;5;1;3;1 1 2 0 0;2;1;1 1 2 0 0;4
2;0;5;1;3;0 12 0 0 0;0;12;0 12 0 0 0;4
2;0;5;1;3;1 -4 1 0 0;1;-4;1 -4 1 0 0;4
2;1;5;1;3;1 -4 1 0 0;1;-4;1 -4 1 0 0;4
2;1;5;1;3;1 1 2 0 0;2;1;1 1 2 0 0;4
2;1;5;1;3;0 20 0 0 0;0;20;0 20 0 0 0;4
2;1;5;1;3;1 -5 1 0 0;1;-5;1 -5 1 0 0;4
3;-1;5;1;1;0 4 -1 0 0;-1;4;0 4 -1 0 0;8
3;0;5;1;2;1 -2 1 0 0;1;-2;1 -2 1 0 0;8
3;0;5;1;2;1 1 2 0 0;2;1;1 1 2 0 0;8
3;0;5;1;2;0 6 0 0 0;0;6;0 6 0 0 0;8
3;0;5;1;2;1 -3 1 0 0;1;-3;1 -3 1 0 0;8
3;1;5;1;2;1 -3 1 0 0;1;-3;1 -3 1 0 0;8
3;1;5;1;2;1 1 2 0 0;2;1;1 1 2 0 0;8
3;1;5;1;2;0 12 0 0 0;0;12;0 12 0 0 0;8
